lineup_id,lineup_names,team,games_played,min,off_rating,def_rating,net_rating,ast_pct,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,possessions,season
-1628991-1629630-1630217-1630583-1642377-,J. Jackson Jr. - J. Morant - D. Bane - S. Aldama - J. Wells,MEM,11,28.0,104.7,92.4,12.3,0.609,0.206,0.636,0.418,0.094,0.491,0.531,110.57,0.531,64,2024-25
-201142-1626164-1631221-1642345-1642346-,K. Durant - D. Booker - C. Gillespie - O. Ighodaro - R. Dunn,PHX,6,28.0,142.0,113.7,28.3,0.704,0.273,0.692,0.5,0.1,0.677,0.695,87.56,0.59,50,2024-25
-200768-1626162-1627824-1628997-1630178-,K. Lowry - K. Oubre Jr. - G. Yabusele - C. Martin - T. Maxey,PHI,6,28.0,115.5,103.3,12.2,0.783,0.176,0.704,0.41,0.052,0.547,0.566,100.4,0.52,58,2024-25
-203482-1628449-1628971-1630567-1642347-,K. Olynyk - C. Boucher - B. Brown - S. Barnes - J. Shead,TOR,8,28.0,106.6,111.3,-4.7,0.708,0.407,0.655,0.536,0.18,0.52,0.573,103.89,0.498,61,2024-25
-2544-1627827-1629216-1629637-1630559-,L. James - D. Finney-Smith - G. Vincent - J. Hayes - A. Reaves,LAL,6,28.0,105.2,103.4,1.7,0.5,0.241,0.649,0.47,0.121,0.533,0.57,98.44,0.542,58,2024-25
-1627736-1630595-1631105-1631323-1641842-,M. Beasley - C. Cunningham - J. Duren - S. Fontecchio - R. Holland II,DET,12,28.0,129.3,89.8,39.5,0.786,0.455,0.697,0.6,0.207,0.663,0.691,99.63,0.75,58,2024-25
-1628970-1630182-1631217-1641733-1641878-,M. Bridges - J. Green - M. Diabaté - N. Smith Jr. - D. Baugh,CHA,5,28.0,116.1,134.4,-18.2,0.6,0.371,0.63,0.484,0.065,0.492,0.549,107.28,0.413,62,2024-25
-201587-201935-203992-1627826-1627884-,N. Batum - J. Harden - B. Bogdanović - I. Zubac - D. Jones Jr.,LAC,13,28.0,122.4,94.7,27.7,0.357,0.483,0.774,0.633,0.103,0.561,0.582,99.86,0.622,58,2024-25
-202696-203897-1629632-1630245-1641824-,N. Vučević - Z. LaVine - C. White - A. Dosunmu - M. Buzelis,CHI,9,28.0,122.0,121.7,0.4,0.542,0.292,0.552,0.434,0.169,0.628,0.677,102.93,0.453,59,2024-25
-1626158-1629673-1630557-1641731-1642267-,R. Holmes - J. Poole - C. Kispert - B. Coulibaly - B. Carrington,WAS,11,28.0,120.3,120.0,0.3,0.792,0.357,0.692,0.519,0.169,0.58,0.622,103.42,0.487,59,2024-25
-203500-1627832-1628415-1630224-1631095-,S. Adams - F. VanVleet - D. Brooks - J. Green - J. Smith Jr.,HOU,14,28.0,138.1,85.9,52.2,0.267,0.35,0.806,0.643,0.159,0.724,0.764,107.51,0.698,63,2024-25
-203932-203999-1629618-1631128-1631212-,A. Gordon - N. Jokić - J. Pickett - C. Braun - P. Watson,DEN,5,27.0,103.7,119.3,-15.6,0.571,0.259,0.692,0.472,0.13,0.522,0.556,99.32,0.439,54,2024-25
-201143-1627759-1628401-1630202-1630573-,A. Horford - J. Brown - D. White - P. Pritchard - S. Hauser,BOS,6,27.0,131.4,111.3,20.1,0.607,0.4,0.75,0.556,0.059,0.569,0.573,92.9,0.566,51,2024-25
-1629014-1630703-1631101-1631133-1641739-,A. Simons - S. Henderson - S. Sharpe - J. Walker - T. Camara,POR,7,27.0,114.3,103.5,10.8,0.435,0.355,0.618,0.492,0.161,0.547,0.571,101.98,0.52,56,2024-25
-1630217-1630583-1630590-1630643-1631222-,D. Bane - S. Aldama - S. Pippen Jr. - J. Huff - J. LaRavia,MEM,6,27.0,138.3,106.6,31.8,0.833,0.304,0.688,0.527,0.15,0.712,0.719,107.96,0.647,60,2024-25
-201599-203932-1627750-1629008-1631128-,D. Jordan - A. Gordon - J. Murray - M. Porter Jr. - C. Braun,DEN,6,27.0,129.1,100.0,29.1,0.556,0.483,0.885,0.673,0.109,0.527,0.58,94.73,0.629,55,2024-25
-1629130-1629312-1629639-1630558-1642276-,D. Robinson - H. Highsmith - T. Herro - D. Mitchell - K. Ware,MIA,7,27.0,126.8,77.6,49.2,0.704,0.227,0.625,0.484,0.089,0.633,0.67,102.5,0.777,56,2024-25
-1627734-1628370-1628989-1631099-1631165-,D. Sabonis - M. Monk - K. Huerter - K. Murray - K. Ellis,SAC,9,27.0,101.7,146.8,-45.1,0.909,0.154,0.609,0.367,0.15,0.573,0.592,110.21,0.346,60,2024-25
-203471-1627736-1630191-1630595-1631323-,D. Schröder - M. Beasley - I. Stewart - C. Cunningham - S. Fontecchio,DET,12,27.0,126.7,121.7,5.0,0.621,0.286,0.833,0.5,0.1,0.591,0.63,104.97,0.527,60,2024-25
